job_title,job_url,job_id,location,role_type,salary,description,keyword,level
Modern Work Functional Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/903/?keyword=Power+Platform&mode=location,903,"Argentina, Mexico (Remote)",Delivery,N/A,"Lead discovery workshops to capture business, compliance, and adoption requirements. | Create functional specifications, user stories, and high‑level solution architectures for Modern Work deployments that leverage M365 capabilities. | Understand and help identify data‑governance, security, and lifecycle management needs to M365 tools and licensing requirements. | Advise on licensing optimization and roadmap planning.",Power Platform,N/A
Lead Technical Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1073/?keyword=Power+Platform&mode=location,1073,"Hyderabad, Telangana, India (Hybrid)",Delivery,NA - NA,"Job Identification
1073 | Job Category
Delivery | Posting Date
06/24/2025, 01:20 PM | Locations
Hyderabad, Telangana, India
(Hybrid) | Minimum Salary
NA | Maximum Salary
NA",Power Platform,N/A
Quality Assurance Analyst – Dynamics 365 Finance & Supply Chain Management,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1024/?keyword=Power+Platform&mode=location,1024,"Mexico, Argentina (Remote)",Delivery,N/A,"Test Strategy & Planning
Analyze business and functional requirements to develop risk-based QA strategies and test plans.
Consult on QA best practices and help shape testing processes across projects.
Define testing scope, timelines, and resource needs in alignment with project deliverables. | Analyze business and functional requirements to develop risk-based QA strategies and test plans. | Consult on QA best practices and help shape testing processes across projects. | Define testing scope, timelines, and resource needs in alignment with project deliverables. | Test Execution & Defect Management
Create and execute manual and/or automated test cases across all levels (unit, integration, system, and user acceptance).
Identify, document, and prioritize software defects and follow through to resolution in collaboration with development teams.
Ensure traceability of requirements through to test cases and test results. | Create and execute manual and/or automated test cases across all levels (unit, integration, system, and user acceptance). | Identify, document, and prioritize software defects and follow through to resolution in collaboration with development teams. | Ensure traceability of requirements through to test cases and test results. | Collaboration & Communication
Work closely with cross-functional teams to understand system configurations, customizations, and integrations.
Support client User Acceptance Testing (UAT) by guiding users through test cases and addressing QA-related questions.
Provide clear and actionable QA status updates, test metrics, and issue reports to stakeholders. | Work closely with cross-functional teams to understand system configurations, customizations, and integrations. | Support client User Acceptance Testing (UAT) by guiding users through test cases and addressing QA-related questions. | Provide clear and actionable QA status updates, test metrics, and issue reports to stakeholders. | Documentation & Reporting
Produce and maintain QA documentation including test plans, traceability matrices, test summary reports, and risk assessments.
Contribute to reusable QA templates and continuously refine testing frameworks. | Produce and maintain QA documentation including test plans, traceability matrices, test summary reports, and risk assessments. | Contribute to reusable QA templates and continuously refine testing frameworks. | Continuous Learning & Process Improvement
Stay up to date with changes in the Dynamics 365 ecosystem and emerging QA tools/technologies.
Identify opportunities to improve testing efficiency and effectiveness through automation and process enhancements.
Share knowledge and contribute to a culture of quality and collaboration. | Stay up to date with changes in the Dynamics 365 ecosystem and emerging QA tools/technologies. | Identify opportunities to improve testing efficiency and effectiveness through automation and process enhancements. | Share knowledge and contribute to a culture of quality and collaboration.",Power Platform,N/A
"Senior Manager - Client Services, D365 CE",https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/968/?keyword=Power+Platform&mode=location,968,"Canada, Mexico (Remote)",Delivery,121000 - 180000,"Lead a Portfolio of Clients: Oversee multiple client relationships, managing delivery of post-go-live support, enhancements, and optimization services. | Problem Solve in Real Time: Tackle high-impact, day-to-day operational challenges, ensuring client satisfaction and operational continuity. | Drive Client Success: Influence client roadmaps, recommend improvements, and identify growth opportunities within your accounts. | Team Leadership: Lead and mentor a team of functional and technical consultants, fostering continuous development and collaboration across Canada, Mexico, and other global locations. | Support Sales: Partner with the Sales team by providing strategic delivery insights during the sales process. | Ensure Process Excellence: Contribute to the definition and improvement of Client Services delivery processes, KPIs, and best practices. | Manage High-Risk Services: Confidently manage escalations, contract scope, and client communications at an executive level.",Power Platform,N/A
Senior Consultant-UNIT 4,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1003/?keyword=Power+Platform&mode=location,1003,"Hyderabad, Telangana, India (Hybrid)",Delivery,N/A,Knowledge of Unit4 ERP is preferred. | Knowledge of Unit4 FP&A is preferred. | Experience of implementing FP&A concepts on any other alternative platform is required. | Knowledge/experience of building Unified Dimensional Model is required. | Knowledge/experience with all other pertinent business intelligence concepts is preferred. | Knowledge (experience with) of at least one ERP platform that is used by a non-profit organization is preferred. | The ideal candidate should have four (4) to six (6) years of experience working in a fast-paced environment.,Power Platform,N/A
Senior Consultant - Sales Operations,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/966/?keyword=Power+Platform&mode=location,966,"Hyderabad, Telangana, India (Hybrid)",Delivery,N/A,"System Management & Optimization
Fair understanding of configuration, maintenance, and reliability of our Salesforce Sales Cloud.
Design and implement scalable solutions for objects, workflows, automations (Flow), validation rules, and custom development.
Manage user roles, profiles, permissions, page layouts, and security settings. | Fair understanding of configuration, maintenance, and reliability of our Salesforce Sales Cloud. | Design and implement scalable solutions for objects, workflows, automations (Flow), validation rules, and custom development. | Manage user roles, profiles, permissions, page layouts, and security settings. | Cross-Functional Collaboration
Partner with business stakeholders (Sales, Marketing, Operations, Customer Success, Finance) to understand needs, gather requirements, and translate them into Salesforce solutions.
Support strategic initiatives like lead-to-cash process optimization, forecasting, territory management, and reporting. | Partner with business stakeholders (Sales, Marketing, Operations, Customer Success, Finance) to understand needs, gather requirements, and translate them into Salesforce solutions. | Support strategic initiatives like lead-to-cash process optimization, forecasting, territory management, and reporting. | Data Integrity & Governance
Establish and enforce data governance policies and best practices.
Maintain high standards of data quality, de-duplication, and completeness across all records.
Collaborate with RevOps and Marketing teams to ensure accurate campaign attribution and reporting. | Establish and enforce data governance policies and best practices. | Maintain high standards of data quality, de-duplication, and completeness across all records. | Collaborate with RevOps and Marketing teams to ensure accurate campaign attribution and reporting. | Training & Documentation
Develop user training materials and conduct workshops to improve adoption and effective usage.
Document system architecture, business processes, and release notes for enhancements. | Develop user training materials and conduct workshops to improve adoption and effective usage. | Document system architecture, business processes, and release notes for enhancements. | Project Leadership & Innovation
Lead projects to enhance Salesforce functionality (e.g., CPQ, integrations, custom apps).
Evaluate and implement third-party tools from the AppExchange where needed.
Act as a liaison with IT/Engineering for integrations and more technical customizations (e.g., APIs, middleware). | Lead projects to enhance Salesforce functionality (e.g., CPQ, integrations, custom apps). | Evaluate and implement third-party tools from the AppExchange where needed. | Act as a liaison with IT/Engineering for integrations and more technical customizations (e.g., APIs, middleware).",Power Platform,N/A
Unit4 Senior Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/749/?keyword=Power+Platform&mode=location,749,"BC, Canada (Remote)",Delivery,94000 - 147000,"Assist in solution build and configuration of the individual Unit4 ERP software modules. | Prepare the procedures for users to follow during testing, document test results. | Provide support to end-users and super-users after go-live | Develop end-user training guides and training materials. | Assist with developing data migration strategy and conduct system integration from legacy systems. | Update Business Requirement-Solution Documents based on the current state of the implementation, documenting “As Is” and “To Be” business processes to identify best practices and provide recommendation to customer’s specific operational needs. | Act as the primary functional resource for report writing, gathering/documenting functional requirements into specification documents, and providing effective communication channel between customer and technical consultants and other implementation team members. | Ensure the customer support systems are administered efficiently, escalating issues in an appropriate and timely manner both internally and with the ERP platform vendor. | Assist in maintaining the project plan, including timelines, task breakdown structure and competing priorities for the organization’s information needs. | Maintain issue log for the project.",Power Platform,N/A
Unit4 Senior Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/750/?keyword=Power+Platform&mode=location,750,United States (Remote),Delivery,90000 - 147000,"Assist in solution build and configuration of the individual Unit4 ERP software modules. | Prepare the procedures for users to follow during testing, document test results. | Provide support to end-users and super-users after go-live | Develop end-user training guides and training materials. | Assist with developing data migration strategy and conduct system integration from legacy systems. | Update Business Requirement-Solution Documents based on the current state of the implementation, documenting “As Is” and “To Be” business processes to identify best practices and provide recommendation to customer’s specific operational needs. | Act as the primary functional resource for report writing, gathering/documenting functional requirements into specification documents, and providing effective communication channel between customer and technical consultants and other implementation team members. | Ensure the customer support systems are administered efficiently, escalating issues in an appropriate and timely manner both internally and with the ERP platform vendor. | Assist in maintaining the project plan, including timelines, task breakdown structure and competing priorities for the organization’s information needs. | Maintain issue log for the project.",Power Platform,N/A
D365 F&SC Client Services - SCM - Senior Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/670/?keyword=Power+Platform&mode=location,670,Mexico (Remote),Client Services,N/A,"5+ years of experience working in Microsoft Dynamics 365 Finance and Supply Chain management and Microsoft Dynamics AX 2012 working in an implementation team, managed services team, or combination, performing functional analysist, troubleshooting, solution recommendation and best practices guidance | Working knowledge and expertise in Warehouse and Production management, and related business processes | Microsoft Certification: Dynamics 365 Supply Chain Management Functional Consultant Associate (MB-330 post Feb 2024, or MB-330 plus MB-300 pre-Feb 2024) | Bachelor’s degree in information systems management, Computer Science, or related experience | Proven ability to work with, and contribute to, a virtual team of functional/technical consultants working from different locations across multiple timezones | Ability to work with technical resources to appropriately estimate enhancement efforts for client modification requests, ensure appropriate approvals are in place for system or solution changes, and when approved, drive the solutions to completion. | Strong analytical and problem-solving skills. | Strong interpersonal and communication skills | Highly motivated, self-starter with the ability to take ownership of tasks and activities and drive them to completion | Effective multitasker who can work on a variety of issues at the same time",Power Platform,N/A
Senior D365F&SCM Functional Consultant (SCM) - Client Services,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/952/?keyword=Power+Platform&mode=location,952,Canada (Remote),Client Services,90000 - 145000,"5+ years of experience working in D365 F&SCM Supply Chain module working in an implementation team, managed services team, or combination, performing functional analysist, troubleshooting, solution recommendation and best practices guidance | Expertise in Supply Chain, WMS and Production | Proven ability to work with, and contribute to, a virtual team of functional/technical consultants working from different locations across multiple timezones | Ability to work with technical resources to appropriately estimate enhancement efforts for client modification requests, ensure appropriate approvals are in place for system or solution changes, and when approved, drive the solutions to completion. | Strong analytical and problem-solving skills. | Strong interpersonal and communication skills | Highly motivated, self-starter with the ability to take ownership of tasks and activities and drive them to completion | Effective multitasker who can work on a variety of issues at the same time | Microsoft Certification: Dynamics 365 Supply Chain Management Functional Consultant Associate (MB-330 post Feb 2024, or MB-330 plus MB-300 pre-Feb 2024) | Bachelor’s degree in information systems management, Computer Science, or related experience",Power Platform,N/A
